INDEX,NDVImax250,JJA_tavg25,JJA_ppt_av,JJA_mean_w,distance_w,dist_pastu,dem250,remoteness,soil250,veg250,slope250,Latitude,Longitude,PresBack
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95097535171959,-20.375490543677213,1
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95528451300986,-20.380118373483818,1
9516,7236.399902,9.6082497,45.6666985,4.7269101,790.5689697,1903.939941,17.0,0.0,1.0,5.0,0.0,65.95410900297986,-17.42687701808745,1
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95496953043495,-20.384257519076076,1
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95631843393757,-20.380855429006566,1
7729,7587.049805,9.3157902,64.947403,3.98421,1457.73999,5396.759766,136.3849945,0.0,9.0,4.0,0.766981,65.95677151566277,-14.833634503728439,1
8093,6159.27002,7.95614,53.5858994,4.2895799,0.0,2304.889893,195.0,0.0,3.0,10.0,9.2318401,65.95627463357988,-22.364680885447928,1
7729,7587.049805,9.3157902,64.947403,3.98421,1457.73999,5396.759766,136.3849945,0.0,9.0,4.0,0.766981,65.95747596424108,-14.833762886228289,1
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95612410714531,-20.384539414712698,1
9087,6826.879883,9.1406202,41.3333015,4.4619799,353.553009,707.1069946,44.0,0.0,3.0,4.0,0.0,65.95882195705241,-20.386773623991875,1
9106,6707.169922,9.5276003,40.0,4.5974002,353.553009,2015.560059,60.0,0.0,3.0,4.0,0.0317857,65.96349677932648,-19.9483516185135,1
7788,6002.569824,8.2504902,50.0,4.3333302,901.3880005,3259.600098,52.2299995,0.0,3.0,2.0,12.2807999,65.96456828804355,-22.380542392673185,1
7788,6002.569824,8.2504902,50.0,4.3333302,901.3880005,3259.600098,52.2299995,0.0,3.0,2.0,12.2807999,65.96456828804355,-22.380542392673185,1
7788,6002.569824,8.2504902,50.0,4.3333302,901.3880005,3259.600098,52.2299995,0.0,3.0,2.0,12.2807999,65.96626887890412,-22.38039121336011,1
9106,6707.169922,9.5276003,40.0,4.5974002,353.553009,2015.560059,60.0,0.0,3.0,4.0,0.0317857,65.96924979133361,-19.949135298404013,1
7414,7220.490234,9.4549503,64.1821976,3.8145299,2750.0,4257.350098,120.0,0.0,2.0,4.0,0.121996,65.97029661773374,-14.852365432109961,1
8784,6355.160156,9.6433496,39.0191002,4.6333299,500.0,1274.75,40.0,0.0,3.0,4.0,1.10952,65.97210831037643,-19.946600435399358,1
8784,6355.160156,9.6433496,39.0191002,4.6333299,500.0,1274.75,40.0,0.0,3.0,4.0,1.10952,65.97295317162707,-19.940404910657744,1
8784,6355.160156,9.6433496,39.0191002,4.6333299,500.0,1274.75,40.0,0.0,3.0,4.0,1.10952,65.9744349506731,-19.943033373431142,1
8864,7347.370117,9.2186003,46.6666985,4.8200402,750.0,353.553009,20.0,0.0,1.0,2.0,0.0441597,65.97352187126933,-17.380797271479796,1
8784,6355.160156,9.6433496,39.0191002,4.6333299,500.0,1274.75,40.0,0.0,3.0,4.0,1.10952,65.9744482786746,-19.951131069442,1
8783,7318.160156,9.5306501,39.9608002,4.6189499,250.0,1457.73999,59.0,0.0,3.0,9.0,0.390606,65.9757925360163,-19.9542173111739,1
8783,7318.160156,9.5306501,39.9608002,4.6189499,250.0,1457.73999,59.0,0.0,3.0,9.0,0.390606,65.97639387189521,-19.957056222029507,1
